,,Plant?,Monocot?
>Patiria_miniata,219,,
>Thellungiella_parvula,220,,
>equus_caballus,222,,
>Ficus_microcarpa,233,,
>Pundamilia_nyererei,236,,
>labeotropheus_fuelleborni,237,,
>melanochromis_auratus,238,,
>metriaclima_zebra,238,,
>rhamphochromis_esox,238,,
>salmo_salar,242,,
>selaginella_meollendorfii,242,,
>procavia_capensis,247,,
>Sus_scrofa,248,,
>drosophila_erecta,249,,
>lama_glama,249,,
>Canis_lupus_familiaris,250,,
>Lepisosteus_oculatus,256,,
>ostreococcus_lucimarinus,259,,
>Solanum_pimpinellifolium,268,,
>Daubentonia_madagascariensis,271,,
>Ficus_tinctoria,285,,
>canis_latrans,287,,
>callorhinchus_milii,288,,
>Phoenix_dactylifera,314,,
>gasterosteus_aculeatus,315,,
>Carica_papaya,325,,
>aquilegia_coerulea,330,,
>Saimiri_boliviensis,336,,
>Aegilops_tauschii,341,,
>callithrix_jacchus,342,,
>ochotona_princeps,342,,
>ateles_geoffroyi,344,,
>peromyscus_maniculatus,346,,
>spermophilus_tridecemlineatus,348,,
>Cynocephalus_volans,352,,
>cynocephalus_variegatus,352,,
>tupaia_belangeri,354,,
>Jatropha_carcus,358,,
>Mayetiola_hordei,360,,
>petromyzon_marinus,363,,
>Anopheles_merus,364,,
>Lithocarpus_xylocarpus,367,,
>Lithocarpus_balansea,368,,
>Lithocarpus_hancei,368,,
>oryctolagus_cuniculus,370,,
>helobdella_robusta,374,,
>myotis_lucifugus,380,,
>drosophila_yakuba,397,,
>Eucidaris_tribuloides,400,,
>lottia_gigantea,406,,
>Chinchilla_lanigera,444,,
>Radix_balthica,499,,
>Ailuropoda_melanoleuca,557,,
>Mimulus_guttatus,669,,
>Bubalus_bubalis,678,,
>Trichechus_manatus_latirostris,683,,
>Mimulus_laciniatus,729,,
>Mimulus_dentilobus,729,,
>Ovis_aries,817,,
>Capra_hircus,818,,
>Bison_bison,1410,,
>Bos_grunniens,1412,,
>Bos_taurus_inducus,1419,,
>Bos_taurus_taurus,1420,,
