2403,testassemblies2789,,"Saccharum officinarum/Sorghum bicolor centromere repeat homology. Blast to both, but rough similarity"
1167,testassemblies3313,,TE?
1033,testassemblies623,,"Same as 1st, but doubled roughly"
1027,testassemblies86,,TE
974,testassemblies3183,,TE
942,testassemblies3182,,TE
890,testassemblies4225,,TE
889,testassemblies1103,,
794,testassemblies3118,,
744,testassemblies1829,,
721,testassemblies2651,,
670,testassemblies1247,,
595,testassemblies3104,,
575,testassemblies765,,
574,testassemblies92,,
547,testassemblies1284,,
524,testassemblies4211,,
480,testassemblies3617,,
451,testassemblies2679,,
434,testassemblies3666,,
413,testassemblies27,,
401,testassemblies615,,
392,testassemblies3142,,
347,testassemblies4182,,
341,testassemblies3907,,
336,testassemblies652,,
334,testassemblies1828,,
334,testassemblies4318,,
312,testassemblies2094,,
306,testassemblies2999,,
292,testassemblies3117,,
287,testassemblies195,,
287,testassemblies272,,
282,testassemblies938,,
282,testassemblies2182,,
275,testassemblies1386,,
275,testassemblies1739,,
266,testassemblies2112,,
265,testassemblies1194,,
255,testassemblies2118,,
253,testassemblies1494,,
237,testassemblies2500,,
225,testassemblies1482,,
220,testassemblies1792,,
217,testassemblies1193,,
203,testassemblies2984,,
198,testassemblies1834,,
197,testassemblies2448,,
193,testassemblies1560,,
187,testassemblies2365,,
187,testassemblies2411,,
184,testassemblies3171,,
181,testassemblies861,,
176,testassemblies48,,
169,testassemblies2936,,
163,testassemblies3498,,
159,testassemblies2313,,
156,testassemblies1119,,
147,testassemblies1540,,
147,testassemblies3369,,
145,testassemblies191,,
140,testassemblies3410,,
137,testassemblies1525,,
136,testassemblies2304,,
136,testassemblies4136,,
133,testassemblies1721,,
131,testassemblies129,,
124,testassemblies1014,,
123,testassemblies690,,
116,testassemblies826,,
116,testassemblies2202,,
115,testassemblies2808,,
110,testassemblies1090,,
109,testassemblies1512,,
108,testassemblies1124,,
104,testassemblies646,,
98,testassemblies1666,,
97,testassemblies599,,
93,testassemblies170,,
93,testassemblies2038,,
92,testassemblies1668,,
92,testassemblies2669,,
91,testassemblies3373,,
89,testassemblies3198,,
86,testassemblies2486,,
77,testassemblies1625,,
76,testassemblies2456,,
75,testassemblies4026,,
74,testassemblies174,,
72,testassemblies1383,,
71,testassemblies2735,,
69,testassemblies3141,,
68,testassemblies1097,,
67,testassemblies2665,,
67,testassemblies2918,,
66,testassemblies1909,,
65,testassemblies1985,,
65,testassemblies2123,,
65,testassemblies4438,,
63,testassemblies1392,,
62,testassemblies3044,,
60,testassemblies3216,,
60,testassemblies4210,,
59,testassemblies706,,
59,testassemblies2899,,
56,testassemblies399,,
56,testassemblies1038,,
56,testassemblies1112,,
56,testassemblies4185,,
55,testassemblies1546,,
53,testassemblies6,,
53,testassemblies2367,,
52,testassemblies2961,,
51,testassemblies2840,,
50,testassemblies3136,,
50,testassemblies3534,,
49,testassemblies4404,,
48,testassemblies3786,,
47,testassemblies3920,,
46,testassemblies2990,,
45,testassemblies1637,,
43,testassemblies698,,
43,testassemblies3958,,
42,testassemblies918,,
42,testassemblies3665,,
41,testassemblies207,,
41,testassemblies3937,,
39,testassemblies2272,,
37,testassemblies1768,,
37,testassemblies2916,,
37,testassemblies3751,,
36,testassemblies4133,,
35,testassemblies1053,,
35,testassemblies1838,,
33,testassemblies1245,,
32,testassemblies1374,,
31,testassemblies1469,,
31,testassemblies3961,,
30,testassemblies872,,
30,testassemblies2285,,
30,testassemblies3269,,
29,testassemblies7,,
29,testassemblies3622,,
28,testassemblies164,,
28,testassemblies188,,
28,testassemblies1590,,
28,testassemblies2590,,
27,testassemblies897,,
27,testassemblies1372,,
27,testassemblies1778,,
26,testassemblies2466,,
26,testassemblies3539,,
25,testassemblies658,,
25,testassemblies2883,,
25,testassemblies3206,,
25,testassemblies4143,,
24,testassemblies285,,
24,testassemblies546,,
24,testassemblies1585,,
23,testassemblies2223,,
22,testassemblies2969,,
21,testassemblies1369,,
21,testassemblies2652,,
20,testassemblies3099,,
19,testassemblies428,,
19,testassemblies1973,,
19,testassemblies2515,,
18,testassemblies2219,,
18,testassemblies2390,,
18,testassemblies3540,,
18,testassemblies3869,,
18,testassemblies3960,,
17,testassemblies883,,
17,testassemblies1242,,
16,testassemblies998,,
16,testassemblies1719,,
16,testassemblies2708,,
16,testassemblies3612,,
15,testassemblies397,,
15,testassemblies709,,
15,testassemblies2381,,
15,testassemblies2598,,
14,testassemblies138,,
14,testassemblies549,,
14,testassemblies3695,,
14,testassemblies3963,,
13,testassemblies1275,,
13,testassemblies2529,,
13,testassemblies2722,,
13,testassemblies2955,,
13,testassemblies3152,,
13,testassemblies3357,,
13,testassemblies3416,,
12,testassemblies3120,,
12,testassemblies4091,,
11,testassemblies295,,
11,testassemblies518,,
11,testassemblies1770,,
11,testassemblies1991,,
11,testassemblies2886,,
11,testassemblies3368,,
10,testassemblies15,,
10,testassemblies221,,
10,testassemblies370,,
10,testassemblies2040,,
10,testassemblies3705,,
10,testassemblies3760,,
10,testassemblies4217,,
10,testassemblies4339,,
9,testassemblies513,,
9,testassemblies1591,,
9,testassemblies3703,,
9,testassemblies4118,,
8,testassemblies57,,
8,testassemblies508,,
8,testassemblies752,,
8,testassemblies1253,,
8,testassemblies1257,,
8,testassemblies2664,,
8,testassemblies2993,,
8,testassemblies3372,,
8,testassemblies3535,,
8,testassemblies3767,,
8,testassemblies4123,,
8,testassemblies4469,,
7,testassemblies1576,,
7,testassemblies1816,,
7,testassemblies1990,,
7,testassemblies2031,,
7,testassemblies2268,,
7,testassemblies2325,,
7,testassemblies3297,,
7,testassemblies3803,,
7,testassemblies3933,,
6,testassemblies75,,
6,testassemblies386,,
6,testassemblies446,,
6,testassemblies3113,,
6,testassemblies3186,,
6,testassemblies3432,,
6,testassemblies3914,,
6,testassemblies4398,,
5,testassemblies152,,
5,testassemblies755,,
5,testassemblies769,,
5,testassemblies1009,,
5,testassemblies2179,,
5,testassemblies2824,,
5,testassemblies3430,,
5,testassemblies3490,,
5,testassemblies3860,,
4,testassemblies178,,
4,testassemblies293,,
4,testassemblies367,,
4,testassemblies917,,
4,testassemblies928,,
4,testassemblies950,,
4,testassemblies967,,
4,testassemblies971,,
4,testassemblies1020,,
4,testassemblies1826,,
4,testassemblies1855,,
4,testassemblies1856,,
4,testassemblies2085,,
4,testassemblies2131,,
4,testassemblies2180,,
4,testassemblies2320,,
4,testassemblies2321,,
4,testassemblies2795,,
4,testassemblies3046,,
4,testassemblies3070,,
4,testassemblies3446,,
4,testassemblies3785,,
4,testassemblies4095,,
3,testassemblies137,,
3,testassemblies404,,
3,testassemblies511,,
3,testassemblies603,,
3,testassemblies637,,
3,testassemblies885,,
3,testassemblies1524,,
3,testassemblies1759,,
3,testassemblies2016,,
3,testassemblies2464,,
3,testassemblies2507,,
3,testassemblies3009,,
3,testassemblies3683,,
3,testassemblies4336,,
3,testassemblies4412,,
2,testassemblies310,,
2,testassemblies425,,
2,testassemblies431,,
2,testassemblies719,,
2,testassemblies995,,
2,testassemblies1050,,
2,testassemblies1073,,
2,testassemblies1286,,
2,testassemblies1440,,
2,testassemblies1466,,
2,testassemblies1800,,
2,testassemblies2159,,
2,testassemblies2430,,
2,testassemblies2496,,
2,testassemblies2853,,
2,testassemblies2976,,
2,testassemblies3537,,
2,testassemblies3632,,
2,testassemblies3747,,
2,testassemblies3762,,
2,testassemblies3818,,
2,testassemblies4107,,
2,testassemblies4207,,
2,testassemblies4288,,
1,testassemblies159,,
