67333,testassemblies521,
65774,testassemblies611,
64216,testassemblies429,
59865,testassemblies180,
57756,testassemblies113,some homology to rice tandem repeat
56924,testassemblies387,
54519,testassemblies568,
54069,testassemblies200,
53724,testassemblies676,
51675,testassemblies567,
45969,testassemblies539,
45857,testassemblies787,
44162,testassemblies594,
44127,testassemblies607,
43058,testassemblies512,
41498,testassemblies148,
40514,testassemblies1005,
40301,testassemblies324,
38311,testassemblies199,
38121,testassemblies675,
37473,testassemblies601,
36606,testassemblies625,
35199,testassemblies286,
35108,testassemblies265,
34896,testassemblies557,
34619,testassemblies314,
34508,testassemblies254,
34473,testassemblies632,
33809,testassemblies643,
33807,testassemblies94,
33754,testassemblies584,
33610,testassemblies259,
33591,testassemblies517,
33510,testassemblies978,
33463,testassemblies813,
33040,testassemblies301,
32866,testassemblies279,
32765,testassemblies449,
32747,testassemblies523,
32571,testassemblies171,
32437,testassemblies424,
32195,testassemblies725,
32131,testassemblies1019,
31012,testassemblies445,
30605,testassemblies789,
30265,testassemblies665,
30114,testassemblies988,
29974,testassemblies693,
29639,testassemblies817,
29096,testassemblies1107,
29044,testassemblies948,
28769,testassemblies1101,
28344,testassemblies298,
28049,testassemblies1061,
28001,testassemblies500,
27946,testassemblies829,
27808,testassemblies402,
27783,testassemblies541,
27535,testassemblies1104,
27421,testassemblies556,
27272,testassemblies419,
27145,testassemblies242,
27059,testassemblies620,
26953,testassemblies654,
26508,testassemblies413,
26439,testassemblies933,
25682,testassemblies774,
25652,testassemblies609,
24737,testassemblies605,
23394,testassemblies673,
22148,testassemblies139,
21410,testassemblies510,
21365,testassemblies912,
21328,testassemblies704,
21245,testassemblies955,
21243,testassemblies89,
21182,testassemblies619,
21170,testassemblies44,
21138,testassemblies680,
21114,testassemblies234,
21103,testassemblies178,
20848,testassemblies152,
20459,testassemblies739,
20384,testassemblies1080,
20227,testassemblies189,
19996,testassemblies258,
19666,testassemblies812,
19615,testassemblies746,
19563,testassemblies285,
19351,testassemblies642,
19308,testassemblies1097,
19290,testassemblies599,
19252,testassemblies987,
19183,testassemblies1106,
19179,testassemblies1018,
19139,testassemblies1022,
19128,testassemblies399,
19038,testassemblies782,
18989,testassemblies1008,
18862,testassemblies728,
18855,testassemblies820,
18752,testassemblies776,
18714,testassemblies516,
18710,testassemblies361,
18685,testassemblies938,
18597,testassemblies1057,
18595,testassemblies790,
18562,testassemblies334,
18511,testassemblies586,
18430,testassemblies785,
18378,testassemblies503,
18378,testassemblies617,
18361,testassemblies796,
18351,testassemblies1045,
18231,testassemblies845,
18152,testassemblies717,
18139,testassemblies436,
18093,testassemblies1099,
18008,testassemblies810,
17917,testassemblies1060,
17916,testassemblies300,
17634,testassemblies1048,
17490,testassemblies604,
17470,testassemblies468,
17415,testassemblies519,
17347,testassemblies566,
17332,testassemblies414,
17331,testassemblies112,
17277,testassemblies191,
17235,testassemblies77,
17214,testassemblies469,
17115,testassemblies104,
16963,testassemblies297,
16868,testassemblies622,
16843,testassemblies653,
16748,testassemblies835,
16727,testassemblies1092,
16694,testassemblies491,
16689,testassemblies446,
16582,testassemblies770,
16524,testassemblies734,
16456,testassemblies263,
16387,testassemblies530,
16335,testassemblies684,
16139,testassemblies216,
15966,testassemblies695,
15812,testassemblies855,
15794,testassemblies924,
15510,testassemblies137,
15465,testassemblies681,
15435,testassemblies160,
15409,testassemblies1064,
15353,testassemblies761,
